Bitcoin,4036.87484884,4.77%,https://coinmarketcap.com/currencies/bitcoin/
Ethereum,153.405950335,-0.38%,https://coinmarketcap.com/currencies/ethereum/
XRP,0.367220654726,2.36%,https://coinmarketcap.com/currencies/ripple/
Bitcoin Cash,163.257923588,1.49%,https://coinmarketcap.com/currencies/bitcoin-cash/
EOS,2.77741640122,2.53%,https://coinmarketcap.com/currencies/eos/
Stellar,0.12183525355,6.80%,https://coinmarketcap.com/currencies/stellar/
Litecoin,37.8771110079,2.29%,https://coinmarketcap.com/currencies/litecoin/
Tether,1.01967610157,0.37%,https://coinmarketcap.com/currencies/tether/
Bitcoin SV,88.6464764663,0.04%,https://coinmarketcap.com/currencies/bitcoin-sv/
TRON,0.0229939404763,0.58%,https://coinmarketcap.com/currencies/tron/
Cardano,0.0481513742207,3.53%,https://coinmarketcap.com/currencies/cardano/
IOTA,0.371795332305,2.38%,https://coinmarketcap.com/currencies/iota/
Monero,52.8182118455,4.41%,https://coinmarketcap.com/currencies/monero/
Binance Coin,6.25024101786,2.34%,https://coinmarketcap.com/currencies/binance-coin/
Dash,83.8791920921,3.84%,https://coinmarketcap.com/currencies/dash/
NEM,0.0651492233733,0.63%,https://coinmarketcap.com/currencies/nem/
NEO,8.62633206388,10.45%,https://coinmarketcap.com/currencies/neo/
Ethereum Classic,5.21229032186,0.52%,https://coinmarketcap.com/currencies/ethereum-classic/
Maker,505.921265495,-0.87%,https://coinmarketcap.com/currencies/maker/
Zcash,60.7253574554,4.87%,https://coinmarketcap.com/currencies/zcash/
Waves,3.12344475955,2.17%,https://coinmarketcap.com/currencies/waves/
USD Coin,1.00729885351,-0.30%,https://coinmarketcap.com/currencies/usd-coin/
Tezos,0.482360539078,-0.14%,https://coinmarketcap.com/currencies/tezos/
Dogecoin,0.00230531867033,-0.27%,https://coinmarketcap.com/currencies/dogecoin/
Bitcoin Gold,13.4936380927,3.71%,https://coinmarketcap.com/currencies/bitcoin-gold/
